﻿system_reference_number,facility_name,unit_name_and_description,form_score,patient_comments,Sentiment Score,Translated Text,Misspelled Words
IP-DPOS-2022-398-810039,Tembisa Tertiary Hospital,Ward 20 Adult,1,I woud like to thank all the nuses in the ward are all friendly and kind. They helped with everything you ask. They treat us nicely and they dont complain when ta petient ask to be helped.They are doing a very nice job according me. I wish they treat all the petent the same as they did to me Than you,0.9771,I woud like to thank all the nuses in the ward are all friendly and kind. They helped with everything you ask. They treat us nicely and they dont complain when ta petient ask to be helped.They are doing a very nice job according me. I wish they treat all the petent the same as they did to me Than you,"kind.,nuses,ask.,petent,me.,petient,helped.they"
IP-DPOS-2022-398-819540,Tembisa Tertiary Hospital,Ward 20 Adult,1,Since Ive been here i dont have any complain They are taking good care of us more especially their prayers every morning they giving us hope and I become stronger day by day I am so proud of them,0.959,Since Ive been here i dont have any complain They are taking good care of us more especially their prayers every morning they giving us hope and I become stronger day by day I am so proud of them,
IP-DPOS-2022-398-644947,Tembisa Tertiary Hospital,Ward 20 Adult,1,"Yebo bayabingelela bebuya bezethule kuthina.
Yebo sibabona njalo emini nasebusuku
Cha bahlezi bekhona sonke iskathi esibadinga
Yebo ahlezi ahlanzekile ngaso sonke isikhathi
Yebo basinikeza ngamaxesha afanele ukudla kanye nemshanguza amaphilisi
Yebo sihlala sivekelekile ngaso sonke iskhathi siwagqoka amask ngasosonke iskhathi
Yebo bayasazisa imigomo nemibandela
ukuthi mele sifike siziphatha kanjani
Ekhaya ukwenzala ukuthi zizigcine siphephile nalana esilimele ngakhona",0.9321,"Yes, Bayabwela Bebuya Bezthule Kuthina.
Yes Sibabona Njalo Emini Nasebusuku
Of Bahlezi Bekhona Sonke Iskathi Esabadinga
YES AHLETE AHLZEKILE NGASO SONKE ISIKHATI
YES BUSINESS ME
Yes Sihlala Sivekelekile Ngaso Sonke Iskhath
Ya Bayasazisa Imigomo Nemibandela
UKE MELE SIGN
Ekhaya Ukwenzala Ukizigcine Siphephile and Esilimele Ngakhona","bayasazisa,njalo,ekhaya,bebuya,nasebusuku,ukwenzala,esabadinga,esilimele,ahlete,yes,,ukizigcine,bezthule,iskhath,ahlzekile,sibabona,imigomo,isikhati,bahlezi,bekhona,ngaso,kuthina.,siphephile,nemibandela,sivekelekile,bayabwela,emini,sonke,iskathi,sihlala,ngakhona,uke"
IP-DPOS-2022-398-388479,Tembisa Tertiary Hospital,Ward 20 Adult,1,"Yes Mmachoune Seanego o ke dutse gabotse mo sepetlele sa rona , doctor and sister bare swere gabotse re ya ja breakfast ,lunch and dinner . re nwa dipilisi tsa rona ke nako ere fetsa go ja re nwa medication warona ka nako di toilet tsa rona di lean wa ra ya rona e clean bed e clean everythng is right",0.7964,"Yes Mmachoune Seanego o ke dutse gabotse mo sepetlele sa rona , doctor and sister bare swere gabotse re ya ja breakfast ,lunch and dinner . re nwa dipilisi tsa rona ke nako ere fetsa go ja re nwa medication warona ka nako di toilet tsa rona di lean wa ra ya rona e clean bed e clean everythng is right","nwa,rona,fetsa,gabotse,swere,,lunch,nako,mmachoune,warona,everythng,dutse,sepetlele,seanego,dipilisi"
IP-DPOS-2022-398-620146,Tembisa Tertiary Hospital,Ward 20 Adult,1,We treated well and everything is order avaible when you need them. they are very friendlyand very caring,0.7056,We treated well and everything is order avaible when you need them. they are very friendlyand very caring,"avaible,them.,friendlyand"
IP-DPOS-2022-398-277489,Tembisa Tertiary Hospital,Ward 15,1,"The doctor care about us they don't give us attitude they serve us good.
No bad service
I am Jan Wowana
i want to thank 
Doctor and nurse",0.4939,"The doctor care about us they don't give us attitude they serve us good.
No bad service
I am Jan Wowana
i want to thank 
Doctor and nurse","good.,wowana"
IP-DPOS-2022-398-053076,Tembisa Tertiary Hospital,Ward 15,1,A kena di complain bare hlokomela keya leboha Gloria Mofiya 0725742811,-0.4019,A hit in complaints Bare Hlokomela Keya Leboha Gloria Mofiya 0725742811,"hlokomela,mofiya,leboha,keya"
IP-DPOS-2022-149-728917,Heidelberg District Hospital,Ward6 peaditric,1,im very happy with doctors and sisters the are doing a very good job.,0.8012,im very happy with doctors and sisters the are doing a very good job.,job.
IP-DPOS-2022-398-329114,Tembisa Tertiary Hospital,Ward 15,1,I just want to say I apriciate everything in my ward 15. Every sister I found there is good and they have love and caring,0.891,I just want to say I apriciate everything in my ward 15. Every sister I found there is good and they have love and caring,apriciate
IP-DPOS-2022-398-053134,Tembisa Tertiary Hospital,Ward 15,1,"As for my side I dont have comments but I could like to complients them, about the treatment and love they gave me since I arrived here. I felt so welcomed until today. They respect that they gave patient it's rare and they know how to explain every question to you. and also I could like to complients the cleaners the word that I was sleepy its very clen. I learned so much from health care workers",0.9797,"As for my side I dont have comments but I could like to complients them, about the treatment and love they gave me since I arrived here. I felt so welcomed until today. They respect that they gave patient it's rare and they know how to explain every question to you. and also I could like to complients the cleaners the word that I was sleepy its very clen. I learned so much from health care workers","complients,here.,them,,today.,clen.,you."
IP-DPOS-2022-398-815645,Tembisa Tertiary Hospital,Ward 15,1,Happy,0.5719,Happy,
IP-DPOS-2022-398-572011,Tembisa Tertiary Hospital,Ward 4,1,I don't have comments because everything is well,0.2732,I don't have comments because everything is well,
IP-DPOS-2022-398-510662,Tembisa Tertiary Hospital,Ward 4,1,Ke na Matsie Mojapelo ke leboga baokiba ba ward 4 ke leboga ga kudu barehlokomela bana re leboga le ba bare ki ba word 4,0,Ka Na Massie MoSie Mojapelo Kaoga Baokiba Baqiba Ba Ward 4 Ku Leaga Baellokomela Ba Ba re Legee Ba Ba Word 4,"baokiba,baellokomela,baqiba,kaoga,massie,mojapelo,leaga,mosie,legee"
IP-DPOS-2022-398-093319,Tembisa Tertiary Hospital,Ward 4,1,I dont have any comments everythng is ok,0.296,I dont have any comments everythng is ok,everythng
IP-DPOS-2022-398-252311,Tembisa Tertiary Hospital,ward15,1,I thank you for giving me this opportunity to explain myself about the service. I would like you to hre more staff for cleaning. work note is too much please provide wheel beans for ward 15 .good wok to the doctors they use to explain everything about my health and I should take care of myself,0.9485,I thank you for giving me this opportunity to explain myself about the service. I would like you to hre more staff for cleaning. work note is too much please provide wheel beans for ward 15 .good wok to the doctors they use to explain everything about my health and I should take care of myself,"hre,service.,.good,cleaning."
IP-DPOS-2022-398-245667,Tembisa Tertiary Hospital,ward15,0.86,Improvement on cleanliness,0.4588,Improvement on cleanliness,
IP-DPOS-2022-398-692445,Tembisa Tertiary Hospital,ward15,0.71,"This is under the situation I experienced at casualty, where a nurse did not want to check up my bursted abscess. above all the tratment at hospital was okay I am happy 
Luleka Sturman",0.2448,"This is under the situation I experienced at casualty, where a nurse did not want to check up my bursted abscess. above all the tratment at hospital was okay I am happy 
Luleka Sturman","luleka,casualty,,tratment,sturman,abscess."
IP-DPOS-2022-443-129992,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,THE PAP AND THE FISH OR BEEF ARE NICE,0.4215,THE PAP AND THE FISH OR BEEF ARE NICE,
IP-DPOS-2022-443-160285,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,THE PAP AND HE BEED WAS GOOD OR IS GOOD,0.7003,The Pap and He Beed was good or is good,beed
IP-DPOS-2022-443-795481,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,THE PAP AND MEAT IS VERY NICE,0.4754,THE PAP AND MEAT IS VERY NICE,
IP-DPOS-2022-443-090304,Weskoppies Psychiatric Hospital,Ward 50 (Male),0.43,THIS WARD PATIENTS VERY HAPPY STAYING GOOD NO PROBLEM THE WARD,0.5034,This Ward Patients very happy staying good no problem the ward,
IP-DPOS-2022-443-335422,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,KUMNANDI KULE WADI,0,Hands on the ward,
IP-DPOS-2022-443-167917,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,THE FOOD PAP AND MEAT IS VERY NICE,0.4754,THE FOOD PAP AND MEAT IS VERY NICE,
IP-DPOS-2022-443-105718,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,SOMETIMES THE FOOD IS GOOD I APPRECIATE,0.6808,SOMETIMES THE FOOD IS GOOD I APPRECIATE,
IP-DPOS-2022-443-441853,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,THE BEEF AND THE PORIDGE IS GOOD ,0.4404,THE BEEF AND THE PORIDGE IS GOOD ,poridge
IP-DPOS-2022-443-635786,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,KUMNANDI KULE WODI,0,Hands in the ward,
IP-DPOS-2022-443-880010,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,BARI TSWERI GAMUMA WOTONG,0,BARI TSWERI GAMUMA WOTONG,"wotong,tsweri,gamuma"
IP-DPOS-2022-443-386445,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,WE NEED ONE MORE TV TO SUIT OUR CHOICES,0,WE NEED ONE MORE TV TO SUIT OUR CHOICES,tv
IP-DPOS-2022-443-643181,Weskoppies Psychiatric Hospital,Ward 50 (Male),1,KUMNANDI KHULE WODI,0,Keep Khule ward,khule
IP-DPOS-2022-398-252938,Tembisa Tertiary Hospital,Ward 8,0.86,Keep the good work,0.4404,Keep the good work,
IP-DPOS-2022-398-989607,Tembisa Tertiary Hospital,Ward 8,1,Mixing mentaly sick patience and ordinary patient is n a goodthing,-0.5106,Mixing mentaly sick patience and ordinary patient is n a goodthing,"mentaly,goodthing,n"
IP-DPOS-2022-398-669102,Tembisa Tertiary Hospital,Ward 8,1,I am very happy the services for this hspital cause they gave us all the things that we asked from them I gave them 185%/200 from Linda lihlohonolo Ngwasheng L.R ngosy. Bravo to us the patient's to all the nurses keep it u the hard wrk u doing my God bess u billion,0.6901,I am very happy the services for this hspital cause they gave us all the things that we asked from them I gave them 185%/200 from Linda lihlohonolo Ngwasheng L.R ngosy. Bravo to us the patient's to all the nurses keep it u the hard wrk u doing my God bess u billion,"ngosy.,185%/200,l.r,lihlohonolo,ngwasheng,wrk,hspital"
IP-DPOS-2022-398-435355,Tembisa Tertiary Hospital,Ward 8,1,"I am well satisfty about the service live recieved, The toilets are old and dirty same as shower, Actually bathroom as whole mixing patents eish strungle we see trauma cant sleep at night no rest, blankets are limited same as pyjamas. we dont snack.They wake us very early in the morning for vitals",-0.6808,"I am well satisfty about the service live recieved, The toilets are old and dirty same as shower, Actually bathroom as whole mixing patents eish strungle we see trauma cant sleep at night no rest, blankets are limited same as pyjamas. we dont snack.They wake us very early in the morning for vitals","recieved,,eish,shower,,satisfty,rest,,pyjamas.,snack.they,strungle"
IP-DPOS-2022-398-472501,Tembisa Tertiary Hospital,Ward 8,1,"Work according there and scoped practice, they an trustworth regarding our health. i highly rated them above 
Trustorth
faithfully
Apprection
Always Jevial daily to as patient, keep it up
bravo to us patient thank t nurses",0.6486,"Work according there and scoped practice, they an trustworth regarding our health. i highly rated them above 
Trustorth
faithfully
Apprection
Always Jevial daily to as patient, keep it up
bravo to us patient thank t nurses","jevial,health.,apprection,patient,,practice,,trustorth,t,trustworth"
IP-DPOS-2022-443-338419,Weskoppies Psychiatric Hospital,Ward 72 (Female),0.86,No YET DISCHARGED. THANK YOU TO THE NURSES FOR TAKING CARE OF US,0.7154,No YET DISCHARGED. THANK YOU TO THE NURSES FOR TAKING CARE OF US,discharged.
IP-DPOS-2022-443-125116,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,AMAZING PEOPLE ,0.5859,Amazing people,
IP-DPOS-2022-398-909585,Tembisa Tertiary Hospital,Ward 15,0.86,Toilet are not flushing properly,0,Toilet are not flushing properly,
IP-DPOS-2022-398-420561,Tembisa Tertiary Hospital,Ward 15,0.86,"Please improve the sheet, blankets, pillows. Cubnets are not clean. More toilets and bathing place / bathrooms we strugle to bath in / bath showers are not working",0.4482,"Please improve the sheet, blankets, pillows. Cubnets are not clean. More toilets and bathing place / bathrooms we strugle to bath in / bath showers are not working","strugle,cubnets,sheet,,blankets,,clean.,pillows."
IP-DPOS-2022-398-236365,Tembisa Tertiary Hospital,Ward 15,0.86,The toilet is flushing,0,The toilet is flushing,
IP-DPOS-2022-443-366548,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,GREAT PEOPLE AND GOOD TEAM,0.7906,GREAT PEOPLE AND GOOD TEAM,
IP-DPOS-2022-398-510415,Tembisa Tertiary Hospital,Ward 15,1,"Thembisa hospital Doctotrs an nurses they are working twoo hard please take care of them
They are working too hard day nd night",0.5719,"Thembisa hospital Doctotrs an nurses they are working twoo hard please take care of them
They are working too hard day nd night","doctotrs,twoo,nd,thembisa"
IP-DPOS-2022-398-619851,Tembisa Tertiary Hospital,Ward 15,0.86,Toile are not flishing,0,Toile are not flishing,"flishing,toile"
IP-DPOS-2022-398-873637,Tembisa Tertiary Hospital,Ward 15,0.86,"Toilets are not working properly and are dirty .
The service is good ,you dont wait for attendance.
Always available whenever you need them
There is shortage blankets especislly in this season of winter
We eed at least a shower to minimize que during bath time",-0.25,"Toilets are not working properly and are dirty .
The service is good ,you dont wait for attendance.
Always available whenever you need them
There is shortage blankets especislly in this season of winter
We eed at least a shower to minimize que during bath time",",you,especislly,attendance."
IP-DPOS-2022-443-207570,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,GREAT PEOPLE ANDN AMAZING SERVICE,0.836,GREAT PEOPLE AND AMAZING SERVICE,
IP-DPOS-2022-443-271980,Weskoppies Psychiatric Hospital,Ward 72 (Female),0.86,NOT YET DISCHARGED,0,Not yet discharged,
IP-DPOS-2022-398-605915,Tembisa Tertiary Hospital,Ward 15,1,Everything is fine,0.2023,Everything is fine,
IP-DPOS-2022-398-409796,Tembisa Tertiary Hospital,Ward 15,1,"But I'm nt happy about the waiting for long hour for operation, then just cancelled and did the samethng tomorrow plz we understand that we are too much but please try and help plzzz",0.8885,"But I'm nt happy about the waiting for long hour for operation, then just cancelled and did the samethng tomorrow plz we understand that we are too much but please try and help plzzz","plz,plzzz,samethng,nt,operation,"
IP-DPOS-2022-443-038119,Weskoppies Psychiatric Hospital,Ward 61(male),1,I WOULD LIKE TO MAKE PHONE CALL,0.3612,I WOULD LIKE TO MAKE PHONE CALL,
IP-DPOS-2022-443-559206,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,I SHOUTED AT ONE OF HTE NURSES PEOPLES. I`M SORRY IN JESUS NAME I PRAY THANKS KBBT,0.5994,I SHOUTED AT ONE OF HTE NURSES PEOPLES. I`M SORRY IN JESUS NAME I PRAY THANKS KBBT,"peoples.,hte,i`m,kbbt"
IP-DPOS-2022-443-527389,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,AMAZING SERVICE,0.5859,Amazing service,
IP-DPOS-2022-398-243472,Tembisa Tertiary Hospital,Ward 15,1,I receve best edical care from hospital staff the only problem I had is waiting time from casualty I came in on monday  06/06/2022 and i stayed on the chair in casualty until I got admission bed in ward 15 on wensday the 06/06/2022. that was my terreble experiance.,-0.2732,I receve best edical care from hospital staff the only problem I had is waiting time from casualty I came in on monday  06/06/2022 and i stayed on the chair in casualty until I got admission bed in ward 15 on wensday the 06/06/2022. that was my terreble experiance.,"06/06/2022,terreble,edical,experiance.,wensday,receve,06/06/2022."
IP-DPOS-2022-443-945375,Weskoppies Psychiatric Hospital,Ward 72 (Female),0.86,NOT YET DISCHARGED. THANK YOU TO T HE NURSES THAT AR LOOK AFTER US.,-0.2755,NOT YET DISCHARGED. THANK YOU TO T HE NURSES THAT AR LOOK AFTER US.,"discharged.,t,us."
IP-DPOS-2022-443-362569,Weskoppies Psychiatric Hospital,Ward 61(male),1,No problem we eat and stay well.,-0.4215,No problem we eat and stay well.,well.
IP-DPOS-2022-443-004651,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,LOVELY STAFF AND NURSES :D. ,0.5859,Lovely Staff and Nurses: d.,"nurses:,d."
IP-DPOS-2022-398-559822,Tembisa Tertiary Hospital,Ward 20,1,They welcome me nicely Mr Mohlala and Miss Nthuseng Thanks,0.802,They welcome me nicely Mr Mohlala and Miss Nthuseng Thanks,"mr,nthuseng,mohlala"
IP-DPOS-2022-443-431820,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,"SNACKS, GOOD, TV",0.4404,"Snacks, good, TV","snacks,,good,,tv"
IP-DPOS-2022-443-605200,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,I DONT KNOW (ANGAZI),0,I Dont Know (Angazi),(angazi)
IP-DPOS-2022-443-715958,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,SATISFIED,0.4215,Satisfied,
IP-DPOS-2022-443-251226,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,PLATE ENLARGEMENT,0,Plate enlargement,
IP-DPOS-2022-443-605803,Weskoppies Psychiatric Hospital,Ward 72 (Female),1,VERY GOOD ALL,0.4927,Very good all,
IP-DPOS-2022-398-153973,Tembisa Tertiary Hospital,Ward 20,1,I am so grateful they treatus very good.they staff is friendly they are always smilling even when you are in pain they comfort you and that makes you feel better,0.8221,I am so grateful they treatus very good.they staff is friendly they are always smilling even when you are in pain they comfort you and that makes you feel better,"treatus,good.they,smilling"
IP-DPOS-2022-398-905581,Tembisa Tertiary Hospital,Ward 20,1,bangi de the kuhle ngiyabonga bo sistes bonke,0,bangi de the kuhle ngiyabonga bo system bonke,"ngiyabonga,kuhle,bangi,bonke"
IP-DPOS-2022-398-904102,Tembisa Tertiary Hospital,Ward 20,1,Thank to the nurses in ward 20 adults for putting them self on the front line may the God bless them,0.7506,Thank to the nurses in ward 20 adults for putting them self on the front line may the God bless them,
IP-DPOS-2022-443-713740,Weskoppies Psychiatric Hospital,Ward 61(male),1,I eat well,0.2732,I eat well,
IP-DPOS-2022-398-058650,Tembisa Tertiary Hospital,Ward 20,0.86,"Yebo bayasibingelela ngosuku ngosuku
yebo sibathola gasosonke iskhathi esiba dinga ngaso
Cha sometimes sibathola sometimes singalutholi usizo ngoba syabacela sometimes bengasinaki beze ngelabo ixesha beze ngesabo iskhathi. 
yebo bacleaner njalo everyday
yebo basinikeza ngeskhathi imishanguza
yebo siyawagqoka njalo
Yebo bayasitshela imigoma nemibandela ukuthi sifike siziphathe kanjani uma sisekhaya",0,"YEBO BAYASUHEELELA NGOSUKU NGOSUKU
YEBO SIBATHOLA GASOSONKE ISSUE
Cha sometimes Sibathola sometimes singalutholi usizo ngoba syabacela sometimes bengasinaki beze nglabo Ixesha beze ngesabo schethi.
Yebo Boleaner Njalo Everyday
Yebo Basinikeza ngeskhati imishanguza
YEBO SIKAUMANQOKA NJALO
Yebo Bayashela Imigoma Nemibandela Ukuthi Sifike Siziphathe Kanjani Uma Sisekhaya","gasosonke,njalo,sisekhaya,nglabo,ukuthi,sibathola,imigoma,bengasinaki,schethi.,usizo,ngoba,syabacela,sikaumanqoka,kanjani,beze,ngeskhati,bayasuheelela,sifike,bayashela,basinikeza,singalutholi,ngesabo,yebo,nemibandela,ixesha,boleaner,imishanguza,siziphathe,ngosuku"
IP-DPOS-2022-398-475092,Tembisa Tertiary Hospital,Ward 20,0.86,They do greet but I dont know there names thank you,0.5994,They do greet but I dont know there names thank you,
IP-DPOS-2022-398-064167,Tembisa Tertiary Hospital,Ward 20,1,"I would like to thank all the nurses for eing there for me. They supported me all the times when ever i neded help. They gave us food, water and medication. They treated me well They also gave us environment to stay and sleep. Thank you nurses you guys are best nurses ever
Yours faithfuly: Hlaiseka",0.9501,"I would like to thank all the nurses for eing there for me. They supported me all the times when ever i neded help. They gave us food, water and medication. They treated me well They also gave us environment to stay and sleep. Thank you nurses you guys are best nurses ever
Yours faithfuly: Hlaiseka","help.,hlaiseka,eing,food,,faithfuly:,sleep.,medication.,me.,neded"
IP-DPOS-2022-443-276709,Weskoppies Psychiatric Hospital,Ward 61(male),0.29,They dont want to discharge me,-0.0572,They dont want to discharge me,
IP-DPOS-2022-398-914490,Tembisa Tertiary Hospital,Ward 4,1,Good services,0.4404,Good services,
IP-DPOS-2022-398-135373,Tembisa Tertiary Hospital,Ward 4,1,The service is very good . No complains up to so far,-0.2844,The service is very good . No complains up to so far,
IP-DPOS-2022-398-562752,Tembisa Tertiary Hospital,Ward 4,0.86,Anginankinga nokwamanje mna uNtuli makhosazana. nginakinga akekho umunntu ongiphethekabi EDay KMC ngihlele kahle kakhulu. ingane yam ikuhle nam ayikho into engiyakhalangayo manje,0,Anginankinga Nokwamanje mna until Makhosazana.Nginakawa akekho umunntu ongiphethekabi eday kmc ngihlele kahle kakhulu.ingane yam ikuhle nam ayikho into engaguhalayayo manje,"makhosazana.nginakawa,mna,nokwamanje,eday,engaguhalayayo,kakhulu.ingane,akekho,ngihlele,umunntu,ikuhle,kahle,ayikho,manje,kmc,ongiphethekabi,anginankinga"
