﻿system_reference_number,facility_name,unit_name_and_description,form_score,patient_comments,Sentiment Score,Translated Text,Misspelled Words
OP-DPOS-2023-398-806645,Tembisa Tertiary Hospital,Wound Clinic ,1,they are so nice to my child,0.5598,they are so nice to my child,
OP-DPOS-2023-398-893700,Tembisa Tertiary Hospital,Wound Clinic ,1,"Since i stared to come to this place the nurses they talk good to me and son. He was to be treated to this clinic, i didn't not see any bad thing at all they are good. Thank you so much for  taking good care for us May they contiune doing that to others ",0.9455,"Since i stared to come to this place the nurses they talk good to me and son. He was to be treated to this clinic, i didn't not see any bad thing at all they are good. Thank you so much for  taking good care for us May they contiune doing that to others ","contiune,son.,good.,clinic,"
OP-DPOS-2023-398-274161,Tembisa Tertiary Hospital,Wound Clinic ,1,they are so nice to my child.,0.5598,they are so nice to my child.,child.
OP-DPOS-2023-398-031329,Tembisa Tertiary Hospital,Wound Clinic ,1,"The nurses made me feel at home. i saw great changes the first week i came here, nurses know their job very well. Good job",0.8648,"The nurses made me feel at home. i saw great changes the first week i came here, nurses know their job very well. Good job","here,,well.,home."
OP-DPOS-2023-398-639889,Tembisa Tertiary Hospital,Wound Clinic ,0.83,nurses anddoctors here are friendly and we are treated properly ,0.4939,nurses anddoctors here are friendly and we are treated properly ,anddoctors
OP-DPOS-2023-398-955774,Tembisa Tertiary Hospital,Wound Clinic ,1,I'm happy with the help i got from the doctors and the nurses. Thank you,0.836,I'm happy with the help i got from the doctors and the nurses. Thank you,nurses.
OP-DPOS-2023-398-772469,Tembisa Tertiary Hospital,Wound Clinic ,1,I am happy with the service i got from the wound clinic.  was treated with respect and my wound is healed.,0.7783,I am happy with the service i got from the wound clinic.  was treated with respect and my wound is healed.,"healed.,clinic."
OP-DPOS-2023-398-311248,Tembisa Tertiary Hospital,Wound Clinic ,0.83,I have an exellent care .Thank you ,0.6908,I have an exellent care .Thank you ,".thank,exellent"
OP-DPOS-2023-398-404349,Tembisa Tertiary Hospital,Wound Clinic ,0.83,Bangiphathe Kahe kakhulu ngiyabonga usizo lwenu lingiphathe kahle ngibonga uthando lwenu ,0.0,Bangiphathe kahe kakhulu ngiyabonga usizo lwenu lingiphathe,"ngiyabonga,kahe,bangiphathe,lingiphathe,kakhulu,lwenu,usizo"
OP-DPOS-2023-398-431974,Tembisa Tertiary Hospital,Wound Clinic ,1,"i was well assisted from day one , my wound looks so much better. the staff i weloming ",0.6461,"i was well assisted from day one , my wound looks so much better. the staff i weloming ","weloming,better."
OP-DPOS-2023-398-998483,Tembisa Tertiary Hospital,Wound Clinic ,0.89,"Never had a chance to make use of them.
Ward to be compelted to hospital emergancy power supply during loadshedding ",-0.1877,"Never had a chance to make use of them.
Ward to be compelted to hospital emergancy power supply during loadshedding ","compelted,emergancy,them.,loadshedding"
OP-DPOS-2023-398-621280,Tembisa Tertiary Hospital,Wound Clinic ,1,Tsakani Portia Mahlaule mina nikomeke kahle golfu xeem nikhensa tirhisano wati nurse ta mina na kakhurli lowu taka minikkoma kahle yanani mahlweni mikomisa sweswo vavatiyi vanwina nakhensa.,-0.6124,Tsakani Portia Mahlaule Mina I stop kahle Golfu Xeem Nikhensa Tirhisano Nurse Nurse Ta Mina and Kakhurli Lowu Waste Minikkoma Kahle Yinani Mahlweni Mikomisa Sweswo Vavatiyi Vanwina Nakhensa.,"mahlaule,lowu,minikkoma,mikomisa,vanwina,golfu,vavatiyi,nakhensa.,xeem,kahle,tirhisano,sweswo,nikhensa,yinani,mahlweni,tsakani,kakhurli"
OP-DPOS-2023-398-842995,Tembisa Tertiary Hospital,Wound Clinic ,1,"Sister phuthi was so kind and smile all the time.I am very happy she is the special sister .

All the nurse from wound clinc are so kind smill always. I am so happy  i never find the problem 100% to all of them ",0.9762,"Sister phuthi was so kind and smile all the time.I am very happy she is the special sister .

All the nurse from wound clinc are so kind smill always. I am so happy  i never find the problem 100% to all of them ","100%,smill,time.i,clinc,phuthi,always."
OP-DPOS-2023-398-031322,Tembisa Tertiary Hospital,Wound Clinic ,1,ka mo tliniking bare tswere btse lebile reya fola and ba tlhalosa  tsotlhe tse a disomishang ,0.0,ka mo tliniking bare tswere btse lebile reya fola and ba tlhalosa  tsotlhe tse a disomishang ,"tsotlhe,tswere,lebile,fola,reya,disomishang,tlhalosa,tliniking,btse"
OP-DPOS-2023-398-461335,Tembisa Tertiary Hospital,Wound Clinic ,1,i was treated in a good manner with espect and i highly appeciate thir help i can even see a big improvment on my wound . ,0.7063,i was treated in a good manner with espect and i highly appeciate thir help i can even see a big improvment on my wound . ,"appeciate,improvment,thir,espect"
OP-DPOS-2023-398-147262,Tembisa Tertiary Hospital,Wound Clinic ,0.83,Bare tshwere hantle bare hlokometse nako le nako ,0.0,Bare Tshwere Hantle Bare Hlokometse Nako Le Nako,"hlokometse,hantle,nako,tshwere"
OP-DPOS-2023-398-741358,Tembisa Tertiary Hospital,Wound Clinic ,0.89,Mangiphthe kahle lapha wound  clinic ,0.0,Mangiphthe kahle lapha wound  clinic ,"mangiphthe,kahle,lapha"
OP-DPOS-2023-398-292343,Tembisa Tertiary Hospital,Wound Clinic ,1,"Ba nswere ga botse.
Basega le nna babutsisa maphelo banyaka go tseba gore ke phela bjwang. ke batho babotsi kudu rephela ga bptse le bona.",0.0,"Ba nswere ga botse.
Basega le nna babutsisa maphelo banyaka go tseba gore ke phela bjwang.Ke Bath Babotsi Kudu Rephela ga Bptse Le Bona.","banyaka,bptse,babotsi,babutsisa,rephela,tseba,phela,maphelo,botse.,basega,nswere,bona.,bjwang.ke"
OP-DPOS-2023-398-933514,Tembisa Tertiary Hospital,Wound Clinic ,0.89,"Thanks you for having me on wound clinc . 
 good service ",0.7003,"Thanks you for having me on wound clinc . 
 good service ",clinc
OP-DPOS-2023-398-959254,Tembisa Tertiary Hospital,Wound Clinic ,0.89,"we have been  attending at the Wound clinic for 2 years and we have never encounted negativeness from the nurses and the doctors, we get exllent job fro the nurses with a kindness and care the area is well kept clean at all times .",0.875,"we have been  attending at the Wound clinic for 2 years and we have never encounted negativeness from the nurses and the doctors, we get exllent job fro the nurses with a kindness and care the area is well kept clean at all times .","encounted,doctors,,exllent,negativeness"
OP-DPOS-2023-398-233564,Tembisa Tertiary Hospital,Wound Clinic ,0.94,"caring in the clinic it is in imaculate condition which is the most satistfing . Althog i find a challen in understanding, the nature of the wound and the progess. It s more explaned to my satifaction. ",0.4939,"caring in the clinic it is in imaculate condition which is the most satistfing . Althog i find a challen in understanding, the nature of the wound and the progess. It s more explaned to my satifaction. ","althog,imaculate,s,explaned,understanding,,progess.,satistfing,satifaction.,challen"
OP-DPOS-2023-398-293812,Tembisa Tertiary Hospital,Wound Clinic ,0.94,"i'M being treated good , i feel t home . im happy about the way they treated me . Sisiter phuti and her group Hilda Tsaki Mmapabale . my wound is improving ",0.8555,"i'M being treated good , i feel t home . im happy about the way they treated me . Sisiter phuti and her group Hilda Tsaki Mmapabale . my wound is improving ","tsaki,mmapabale,phuti,sisiter,t"
OP-DPOS-2023-398-416861,Tembisa Tertiary Hospital,Wound Clinic ,0.83,Baleli bitse thomotsa ka ngwana waka nka rata go bale boga se badirileng o ngwananeng ke bono di phetogo ka morago wa gore a tsewe,0.0,Baleli bitse thomotsa ka ngwana waka nka rata go bale boga se badirileng or bono ke bono di phetogo ka mogo wa gore a tsewe,"badirileng,nka,baleli,ngwana,tsewe,thomotsa,phetogo,mogo,rata,bitse,boga"
OP-DPOS-2023-398-496787,Tembisa Tertiary Hospital,Wound Clinic ,1,always friedly and helpful also concerned and caring ,0.7184,always friedly and helpful also concerned and caring ,friedly
OP-DPOS-2023-398-331068,Tembisa Tertiary Hospital,Wound Clinic ,0.83,"ke lebohatshwaro ye ke tshwerweng ka youn, barata batho,amen ",0.0,"to Lebohatshwaro Ye to Tshwerweng Ka Youn, Barata Batho, Amen","tshwerweng,lebohatshwaro,youn,,batho,,barata"
OP-DPOS-2023-398-985490,Tembisa Tertiary Hospital,Wound Clinic ,1,i was treated vry well and the nurses was very good with us . Thank you. ,0.7778,i was treated vry well and the nurses was very good with us . Thank you. ,"you.,vry"
OP-DPOS-2023-398-774817,Tembisa Tertiary Hospital,Wound Clinic ,1, I would reccoment Tembisa Hospital as the best hospital when it come to bringing sections and i like the way the nurses and the doctors treat their patients well. I am happy with their service. ,0.9349, I would reccoment Tembisa Hospital as the best hospital when it come to bringing sections and i like the way the nurses and the doctors treat their patients well. I am happy with their service. ,"reccoment,service.,well.,tembisa"
OP-DPOS-2023-398-607394,Tembisa Tertiary Hospital,Wound Clinic ,0.89,"nice to come here , friendly warm, not a lot of people . nea, well dressed. best place in a hospital ",0.9217,"nice to come here , friendly warm, not a lot of people . nea, well dressed. best place in a hospital ","dressed.,warm,,nea,"
OP-DPOS-2023-398-678310,Tembisa Tertiary Hospital,Wound Clinic ,0.78,The staff is very friendly ,0.5413,The staff is very friendly ,
OP-DPOS-2023-398-220458,Tembisa Tertiary Hospital,Wound Clinic ,0.94, i would like to thank the nurses of the wound clinic for the care they gave us . and i will  like to tell them to continiue doing the great work. i am happy about the service they gave us. May God bless you all the sisters and keep doing the great job. ,0.9788, i would like to thank the nurses of the wound clinic for the care they gave us . and i will  like to tell them to continiue doing the great work. i am happy about the service they gave us. May God bless you all the sisters and keep doing the great job. ,"us.,work.,continiue,job."
OP-DPOS-2023-398-099645,Tembisa Tertiary Hospital,Wound Clinic ,0.83,The progress on my gaugther  is making me appy. The nurses service is very good to  my daugther . Thank you so much ,0.8173,The progress on my gaugther  is making me appy. The nurses service is very good to  my daugther . Thank you so much ,"appy.,gaugther"
OP-DPOS-2023-398-862560,Tembisa Tertiary Hospital,Wound Clinic ,1,Thank you my child is discharged am happy they did a good job with her wound ,0.8442,Thank you my child is discharged am happy they did a good job with her wound ,
OP-DPOS-2023-398-425927,Tembisa Tertiary Hospital,Wound Clinic ,0.89,i am very happy with the treatment they gave my son. he was burntnow he is ok.,0.7346,i am very happy with the treatment they gave my son. he was burntnow he is ok.,"ok.,son.,burntnow"
OP-DPOS-2023-398-806612,Tembisa Tertiary Hospital,Wound Clinic ,0.94,"I want  to thank the sisters for their help to my child, They help me with a smle on thier face and a happy heart. Thank you so much.",0.9246,"I want  to thank the sisters for their help to my child, They help me with a smle on thier face and a happy heart. Thank you so much.","much.,thier,heart.,child,,smle"
OP-DPOS-2023-398-488482,Tembisa Tertiary Hospital,Wound Clinic ,1,"Ke kgotsofetse ka tswaro ya bo sister. Ke batho ka lethoba.
Ke a ba leboga bana  ba rena ba kaone ka lebaka la bona ",0.0,"Kgotsofetse ka twaro of bo's sister.Keep the lethoba.
He is a legendary legendary","twaro,kgotsofetse,sister.keep,lethoba."
OP-DPOS-2023-398-234058,Tembisa Tertiary Hospital,Wound Clinic ,1,i'm very happy with the treatment that we getting here .. The staff is good. Thank you.,0.8553,i'm very happy with the treatment that we getting here .. The staff is good. Thank you.,"good.,you.,.."
OP-DPOS-2023-149-173062,Heidelberg District Hospital,EYE CLINIC,1,GOOD SERVICE,0.4404,Good service,
OP-DPOS-2023-149-873040,Heidelberg District Hospital,EYE CLINIC,1,GOOD SERVICE,0.4404,Good service,
OP-DPOS-2023-398-326178,Tembisa Tertiary Hospital,Wound Clinic ,0.89,Ke rata thutso e ke kgomane ko spetlele ba thutshise ngwana waka abe a tsle bohloko ba gne go mothusa a tlokomela wa bo thaga ke leboga thusoya bona kudu kudu thank you so much ,0.0,Kee rare thutso era kgomane ko spetlele and thutshise and abe a tsle bhloko gne gne gnome,"kgomane,thutshise,spetlele,bhloko,thutso,tsle,gne"
OP-DPOS-2023-149-362825,Heidelberg District Hospital,EYE CLINIC,1,GOOD SERVICE,0.4404,Good service,
OP-DPOS-2023-149-530143,Heidelberg District Hospital,WARD 3 MATERNITY ,1,"I received good are. The careworkers were very patient and responsible with their work. They showed compassion, empathy and ability. 

THANK YOU",0.9185,"I received good are. The careworkers were very patient and responsible with their work. They showed compassion, empathy and ability. 

THANK YOU","careworkers,are.,work.,ability.,compassion,"
OP-DPOS-2023-149-803112,Heidelberg District Hospital,WARD 3 MATERNITY ,0.5,I hape pain and I am 40 weeks and 2 days. ,-0.5106,I hape pain and I am 40 weeks and 2 days. ,"hape,days."
OP-DPOS-2023-149-184012,Heidelberg District Hospital,ALLIED,0.83,"The therapits was very good, kind and helpful. I was never turned away from the hospital. I like the way the audiologist greeted and listened to my concerns and she was very attentive. ",0.9227,"The therapits was very good, kind and helpful. I was never turned away from the hospital. I like the way the audiologist greeted and listened to my concerns and she was very attentive. ","hospital.,therapits,attentive.,good,,audiologist,helpful."
OP-DPOS-2023-149-661479,Heidelberg District Hospital,ALLIED,0.94,"I really appreciate the excellent treatment at the hospital, the staff is really doing a good job for the community.

Thank you",0.9124,"I really appreciate the excellent treatment at the hospital, the staff is really doing a good job for the community.

Thank you","community.,hospital,"
OP-DPOS-2023-149-187921,Heidelberg District Hospital,Therapeutic Services,1,The best service and treatment I have ever experienced and the Audilogist ever. The lady is true asset to the profession and the hospital. ,0.8591,The best service and treatment I have ever experienced and the Audilogist ever. The lady is true asset to the profession and the hospital. ,"hospital.,audilogist,ever."
OP-DPOS-2023-149-662473,Heidelberg District Hospital,Therapeutic Services,1,"Basotho mamelang, ke le bolelle ka bohlweki kere bgabane bamo kene keile teng kajeno. Ha ke so bone bohlweki bo bo kana. Kere motho aseke anhlokomela hantle legale antse abososelefela hake so bone nthwe jwalo. ke bua ka mang?ke bua ka ngwanana wa Mosotho bitso la hae ke Mmasina, kere pelo eya pele nganana Mosotho. ",0.0,"Basotho mamelang, but only bolelle ka bohlweki kere bgabane bamo Keile Teng Kajen.Ha ke are vouchers bohlweki will be henna.Kere Motho Askes Anhlocomela Hantle Legale Antse Abososelefel Hake are Bone Nthwe Jwalo.Being Bua Ka Ngwanana Wa Mosotho bitso la hae ka mmasina, kere sang sang sang nganana mosotho.","abososelefel,hantle,bua,bolelle,antse,henna.kere,teng,nganana,basotho,nthwe,mosotho.,anhlocomela,bamo,kere,bitso,mamelang,,jwalo.being,mmasina,,legale,kajen.ha,askes,keile,bgabane,bohlweki,mosotho,motho,ngwanana"
OP-DPOS-2023-149-288279,Heidelberg District Hospital,Therapeutic Services,0.83,No complaints,-0.5719,No complain,
OP-DPOS-2023-398-983838,Tembisa Tertiary Hospital,POPD,0.94,The nurses areally friendly and explain everything in an understandable manner,0.4939,The nurses areally friendly and explain everything in an understandable manner,areally
OP-DPOS-2023-398-699818,Tembisa Tertiary Hospital,POPD,0.78,"The nurses are patience when they talk to us as parents and when we ask them they have a perseverance and understanding us,im greatfull to get help, since I got here",0.4019,"The nurses are patience when they talk to us as parents and when we ask them they have a perseverance and understanding us,im greatfull to get help, since I got here","greatfull,us,im,help,"
OP-DPOS-2023-398-020020,Tembisa Tertiary Hospital,POPD,0.94,Nurses are friendly and approchable some of them,0.4939,Nurses are friendly and approchable some of them,approchable
OP-DPOS-2023-398-924194,Tembisa Tertiary Hospital,POPD,0.67,I'm happy ,0.5719,I'm happy,
OP-DPOS-2023-398-232369,Tembisa Tertiary Hospital,POPD,0.72,Please create activities for to keep them busy while waiting to be seen by doctors ,0.5267,Please create activities for to keep them busy while waiting to be seen by doctors ,
OP-DPOS-2023-398-664073,Tembisa Tertiary Hospital,POPD,0.83,The nurses were frinedly. Keep up the good work ,0.4404,The nurses were frinedly. Keep up the good work ,frinedly.
OP-DPOS-2023-314-718291,Pretoria West District Hospital,Raranani (Art Clinic),1,I am happ about service.,0.0,I am happ about service.,service.
OP-DPOS-2023-314-784659,Pretoria West District Hospital,Raranani (Art Clinic),1,The Nurses and Doctors are very nice.,0.4754,The Nurses and Doctors are very nice.,nice.
OP-DPOS-2023-314-904814,Pretoria West District Hospital,Raranani (Art Clinic),1,I am happy with the servine rendered.,0.5719,I am happy with the servine rendered.,"servine,rendered."
OP-DPOS-2023-314-539592,Pretoria West District Hospital,Raranani (Art Clinic),1,I am happy wiyh the care.,0.7845,I am happy wiyh the care.,care.
OP-DPOS-2023-225-704296,Leratong Regional Hospital,WARD 2,0.89,I LIKE THE SERVICES IRECIEVED HERE ,0.3612,I LIKE THE SERVICES IRECIEVED HERE ,irecieved
OP-DPOS-2023-398-562535,Tembisa Tertiary Hospital,GOPD,1,EVERYTHING WENT WELL THE STAFF IS FRIENDL. tHE TOILETS ARE WORKING AND THE PLACE IS WELL VENTILATED AND CLEAN ,0.8442,EVERYTHING WENT WELL THE STAFF IS FRIENDL. tHE TOILETS ARE WORKING AND THE PLACE IS WELL VENTILATED AND CLEAN ,friendl.
OP-DPOS-2023-398-548203,Tembisa Tertiary Hospital,GOPD,1,"I got a good treatment i was assisted by a friendly sisiter Lizzy, she went all out because she off duty but she had a good heart and helped me thou she has knocked off",0.7845,"I got a good treatment i was assisted by a friendly sisiter Lizzy, she went all out because she off duty but she had a good heart and helped me thou she has knocked off","lizzy,,sisiter"
OP-DPOS-2023-398-393573,Tembisa Tertiary Hospital,GOPD,1,The service was  very good. The nurse Lizzy know how to treat and speak with the patient.her service is very excellent ,0.8716,The service was  very good. The nurse Lizzy know how to treat and speak with the patient.her service is very excellent ,"good.,patient.her"
OP-DPOS-2023-398-350198,Tembisa Tertiary Hospital,GOPD,1,"The servicewas very good
",0.4927,"The servicewas very good
",servicewas
OP-DPOS-2023-398-405174,Tembisa Tertiary Hospital,GOPD,1,The nurses on duty Judy and Lizzy treated me very well.,0.3384,The nurses on duty Judy and Lizzy treated me very well.,well.
OP-DPOS-2023-398-234980,Tembisa Tertiary Hospital,GOPD,0.89,I love the fact that prayer is conducted every moring. It makes us as the patient to become calm and forget about our problems. The only thing is that patient files get every time especially the eldery people become confused everytime. The service is a bit slow. Oldies are sick.The service is very good THANK YOU,0.8076,I love the fact that prayer is conducted every moring. It makes us as the patient to become calm and forget about our problems. The only thing is that patient files get every time especially the eldery people become confused everytime. The service is a bit slow. Oldies are sick.The service is very good THANK YOU,"everytime.,moring.,problems.,sick.the,eldery,slow."
OP-DPOS-2023-398-690490,Tembisa Tertiary Hospital,Optometry,1,Eveything was so good,0.5777,Eveything was so good,
OP-DPOS-2023-398-300976,Tembisa Tertiary Hospital,Optometry,1,The doctor is so polite and respect the patient is so helpful and smile with the patient. She is good in short.,0.9126,The doctor is so polite and respect the patient is so helpful and smile with the patient. She is good in short.,"patient.,short."
